COLUMNS: Frm_RankID | Frm_ID | Frm_Name | Frm_MnuName | Frm_MnuIndex
1 | 7404 | تهيئة و إعداد بيانات الأصناف المخزنية | InvStrgBasicDataMenu | 5
1 | 7405 | معالجة بيانات الأرصدة الإفتتاحية للأصناف المخزنية | InvStrgOpeningBalMenu | 0
1 | 7406 | معالجة بيانات فواتير المشتروات | InvStrgDbnMenu | 0
1 | 7407 | معالجة بيانات فواتير مردود المشتروات | InvStrgDbnMenu | 1
1 | 7408 | معالجة بيانات فواتير المبيعات | InvStrgDbnMenu | 3
1 | 7409 | معالجة بيانات فواتير مردود المبيعات | InvStrgDbnMenu | 4
1 | 7410 | معالجة بيانات سندات التوريد المخزني | InvStrgDbnMenu | 6
1 | 7411 | معالجة بيانات سندات الصرف المخزني | InvStrgDbnMenu | 8
1 | 7412 | معالجة بيانات آوامر التحويـــل المخزني | InvStrgDbnMenu | 10
1 | 7413 | معالجة بيانات آوامر تسوية التسعيرة | InvStrgDbnMenu | 12
1 | 7414 | معالجة بيانات محاضر الجرد المخزني | InvStrgDbnMenu | 14
1 | 7501 | تقارير القراءات - قراءات وإستهلاك المشتركين الشهريه/المرحليه | BillReadAndCunsumeReportMenu | 0
1 | 7502 | تقارير القراءات - إحصائية إستهلاك المشتركين السنوية | BillReadAndCunsumeReportMenu | 1
1 | 7521 | تقارير التسديد - التسديدات الشهرية وكشوفات الفصل | BillReadAndCunsumeReportMenu | 3
1 | 7522 | تقارير التسديد - تفصيل وتحليل تسديد ومتأخرات المشتركين السنوية | BillReadAndCunsumeReportMenu | 4
1 | 7531 | تقارير الفوترة - طباعة الفواتير | BillReadAndCunsumeReportMenu | 6
1 | 7532 | تقارير الفوترة - كشوفات القراءة | BillReadAndCunsumeReportMenu | 7
1 | 7533 | تقارير الفوترة - كشوفات التحصيل | BillReadAndCunsumeReportMenu | 8
1 | 7534 | تقارير الفوترة - تقارير تفصيلية بحساب المشترك | BillReadAndCunsumeReportMenu | 9
1 | 7535 | تقارير الفوترة - تقارير تحليـلية بحساب المشترك | BillReadAndCunsumeReportMenu | 10
1 | 7601 | التقاريـــر الأخــــرى | OtherSystemReprt | 0
1 | 9010 | معالجة بيانات المشتركين | CustomerMenu | 4
1 | 9011 | إضافة بيانات مشترك جديد | CustomerMenu | 0
1 | 9012 | تعديـل بيانات المشتركين | CustomerMenu | 2
1 | 9013 | تبديــل وتغيير بيانات عدادات المشتركين | CustomerMenu | 6
1 | 9014 | تعديـل بيانات المشتركين جماعي | # | -1
1 | 9015 | حذف أو إعتمـــاد طـلـبـات التعديـــل في بيانات المشتركين المرفوعــه عبر الجوال | # | -1
0 | 9901 | تسجيل الدخول | # | -1
0 | 9902 | تسجيل الخروج | # | -1
0 | 9903 | تغيير كلمة المرور الخاصة بالمستخدم الحالي | # | -1
0 | 9904 | شاشة إرسال الرسائل القصيرة | # | -1
1 | 10201 | معالجة بيانات العملات وعملة النظام الرئيسية | CurrencyDataMenu | 0
1 | 10301 | معالجة بيانات المتحصلين | CashierAndManualDbnsMenu | 0
1 | 10302 | معالجة بيانات دفاتر سندات التحصيل اليدوية | CashierAndManualDbnsMenu | 2
1 | 10303 | معالجة السندات المغقوده أو التالفه | CashierAndManualDbnsMenu | 3
1 | 10808 | تهيئة و إعداد بيانات المجموعات الرئيسية لمراكز التكلفة | AccountMenu | 3
1 | 10809 | تهيئة و إعداد بيانات مراكز التكلفة | AccountMenu | 4
1 | 10810 | تهيئة و إعداد بيانات الصناديق الرئيسية - وربطها بالدليل المحاسبي | AccountMenu | 9
1 | 10811 | تهيئة و إعداد بيانات البنوك - وربطها بالدليل المحاسبي | AccountMenu | 11
1 | 10812 | تهيئة و إعداد بيانات العملاء - وربطها بالدليل المحاسبي | AccountMenu | 12
1 | 10813 | تهيئة و إعداد بيانات المالكين/المساهمين - وربطها بالدليل المحاسبي | AccountMenu | 13
1 | 10814 | تهيئة و إعداد بيانات الموردين - وربطها بالدليل المحاسبي | AccountMenu | 14
1 | 10815 | تهيئة و إعداد بيانات العمال والموظفين - وربطها بالدليل المحاسبي | AccountMenu | 15
1 | 17701 | تقارير مالية - بيانات أساسية - بيانات الدليل المحاسبي | FnclBasicDataReport | 0
1 | 17702 | تقارير مالية - بيانات أساسية - بيانات الجهات والأشخاص | FnclBasicDataReport | 2
1 | 17703 | تقارير مالية - بيانات أساسية - المجموعات الرئيسية لمراكز التكلفة | FnclBasicDataReport | 4
1 | 17704 | تقارير مالية - بيانات أساسية - بيانات مراكز التكلفة | FnclBasicDataReport | 5
1 | 17710 | تقارير مالية - سندات وقيود - سندات وعمليات الصرف | FnclDbnDataReport | 0
1 | 17711 | تقارير مالية - سندات وقيود - سندات وعمليات التوريد | FnclDbnDataReport | 2
1 | 17712 | تقارير مالية - سندات وقيود - القيود المالية اليومية | FnclDbnDataReport | 4
1 | 17720 | تقارير مالية - تحليلية - تقرير اليومية العامه | FnclAnalysisReport | 0
1 | 17721 | تقارير مالية - تحليلية - تقرير الإستاذ العام | FnclAnalysisReport | 2
1 | 17722 | تقارير مالية - تحليلية - تقارير تحليلية بحركة الحسابات المالية | FnclAnalysisReport | 4
1 | 17730 | تقارير مالية - إجماليـة - إجمالي العمليات المالية - حسب نوع المستند | FnclSumReport | 0
1 | 17731 | تقارير مالية - إجماليـة - إجمالي العمليات المالية - حسب فئة المستندات | FnclSumReport | 2
1 | 17740 | تقارير مالية - أرصـدة - الإرصدة الإفتتاحية للحسابات المالية | FnclBallancesReport | 0
1 | 17741 | تقارير مالية - أرصـدة - الإرصدة الحـــالية للحسابات المالية | FnclBallancesReport | 2
1 | 17750 | تقارير مالية - موازيـن - ميزان المراجعة بالأرصدة | CheckListAndTrialBalanceReport | 0
1 | 17751 | تقارير مالية - موازيـن - ميزان المراجعة بالمجاميع | CheckListAndTrialBalanceReport | 1
1 | 17752 | تقارير مالية - موازيـن - الميزانية العمومية | CheckListAndTrialBalanceReport | 3
1 | 17753 | تقارير مالية - موازيـن - ميزان الأرباح والخسائر | CheckListAndTrialBalanceReport | 5
1 | 18101 | تقارير مخزنية - تقارير البيانات الأساسية | InvReportMenu | 0
1 | 18110 | تقارير مخزنية - تقارير السندات والعمليات المخزنية | InvReportMenu | 2
1 | 18120 | تقارير مخزنية - تقارير تفصيلية | InvReportMenu | 4
1 | 18130 | تقارير مخزنية - تقارير تحليلية | InvReportMenu | 6
1 | 18140 | تقارير مخزنية - تقارير إجمالية وإحصائية | InvReportMenu | 8
1 | 18150 | تقارير مخزنية - تقارير الأرصدة + نماذج الإدخال + قوائم الجرد | InvReportMenu | 10
1 | 18160 | تقارير مخزنية - تقارير أخرى | InvReportMenu | 12
1 | 30081 | تهيئة و إعداد بيانات المحطات / المحولات | StationsFeedersMenue | 0
1 | 30082 | تهيئة و إعداد بيانات الفيــادر / جـهـات التوصيل | StationsFeedersMenue | 2
1 | 30083 | تهيئة و إعداد بيانات نقاط رصد ومراقبة الإستهلاك والفاقد | StationsFeedersMenue | 4
1 | 30091 | تعديــل و ترحيــل بيانات سـجـلات / حــروف القـراءة | MonthBillProcesses | 0
1 | 30092 | تعديــل و ترحيــل قراءات الفيــادر / جـهـات التوصيل | MonthBillProcesses | 2
1 | 30093 | تعديــل و ترحيــل قراءات نقاط رصد ومراقبة الإستهلاك والفاقد | MonthBillProcesses | 3
1 | 30094 | الإحتساب والإقفال الشهري | MonthBillProcesses | 6

